Dist, px;Temp, gray values;;;;;;GV;Temp
0,00;52,75;40,11;;;;;126,00;80,00
1,00;52,50;39,98;;;;;25,00;25,00
2,00;52,85;40,17;;;;;;
3,00;53,00;40,25;;;;k;0,54;
4,00;53,00;40,25;;;;b;11,39;
5,00;53,31;40,42;;;;;;
6,00;53,80;40,68;;;;;80,00;
7,00;54,00;40,79;;;;;;
8,00;54,00;40,79;;;;;;
9,00;54,50;41,06;;;;;;
10,00;55,00;41,34;;;;;;
11,00;55,00;41,34;;;;;;
12,00;55,50;41,61;;;;;;
13,00;56,21;41,99;;;;;;
14,00;56,69;42,26;;;;;;
15,00;57,00;42,43;;;;;;
16,00;57,50;42,70;;;;;;
17,00;58,00;42,97;;;;;;
18,00;58,49;43,24;;;;;;
19,00;59,00;43,51;;;;;;
20,00;59,38;43,72;;;;;;
21,00;59,89;44,00;;;;;;
22,00;60,49;44,33;;;;;;
23,00;61,00;44,60;;;;;;
24,00;61,00;44,60;;;;;;
25,00;61,49;44,87;;;;;;
26,00;62,45;45,39;;;;;;
27,00;62,95;45,66;;;;;;
28,00;63,46;45,94;;;;;;
29,00;64,00;46,24;;;;;;
30,00;64,49;46,50;;;;;;
31,00;65,00;46,78;;;;;;
32,00;65,00;46,78;;;;;;
33,00;65,93;47,29;;;;;;
34,00;66,87;47,80;;;;;;
35,00;66,85;47,79;;;;;;
36,00;66,91;47,82;;;;;;
37,00;67,00;47,87;;;;;;
38,00;67,38;48,08;;;;;;
39,00;67,75;48,28;;;;;;
40,00;67,72;48,26;;;;;;
41,00;67,99;48,41;;;;;;
42,00;68,66;48,77;;;;;;
43,00;69,17;49,06;;;;;;
44,00;69,38;49,17;;;;;;
45,00;69,90;49,45;;;;;;
46,00;70,44;49,74;;;;;;
47,00;70,95;50,02;;;;;;
48,00;71,49;50,31;;;;;;
49,00;71,75;50,46;;;;;;
50,00;72,26;50,74;;;;;;
51,00;72,78;51,02;;;;;;
52,00;73,29;51,29;;;;;;
53,00;73,80;51,57;;;;;;
54,00;74,31;51,85;;;;;;
55,00;74,83;52,13;;;;;;
56,00;75,00;52,23;;;;;;
57,00;75,48;52,49;;;;;;
58,00;76,00;52,77;;;;;;
59,00;76,37;52,97;;;;;;
60,00;76,80;53,21;;;;;;
61,00;76,91;53,27;;;;;;
62,00;77,00;53,32;;;;;;
63,00;77,42;53,55;;;;;;
64,00;77,90;53,81;;;;;;
65,00;77,93;53,82;;;;;;
66,00;78,43;54,10;;;;;;
67,00;78,99;54,40;;;;;;
68,00;79,00;54,40;;;;;;
69,00;78,97;54,39;;;;;;
70,00;78,95;54,38;;;;;;
71,00;78,92;54,36;;;;;;
72,00;79,37;54,61;;;;;;
73,00;80,34;55,14;;;;;;
74,00;80,84;55,41;;;;;;
75,00;80,82;55,40;;;;;;
76,00;80,89;55,44;;;;;;
77,00;81,36;55,69;;;;;;
78,00;81,86;55,97;;;;;;
79,00;82,00;56,04;;;;;;
80,00;82,33;56,22;;;;;;
81,00;83,14;56,66;;;;;;
82,00;83,81;57,02;;;;;;
83,00;84,00;57,13;;;;;;
84,00;84,00;57,13;;;;;;
85,00;84,47;57,39;;;;;;
86,00;85,00;57,67;;;;;;
87,00;85,23;57,80;;;;;;
88,00;85,52;57,96;;;;;;
89,00;85,29;57,83;;;;;;
90,00;85,00;57,67;;;;;;
91,00;85,28;57,83;;;;;;
92,00;85,62;58,01;;;;;;
93,00;86,12;58,28;;;;;;
94,00;86,67;58,58;;;;;;
95,00;87,03;58,78;;;;;;
96,00;87,58;59,08;;;;;;
97,00;87,28;58,92;;;;;;
98,00;86,78;58,64;;;;;;
99,00;86,80;58,65;;;;;;
100,00;86,83;58,67;;;;;;
101,00;87,32;58,94;;;;;;
102,00;87,88;59,24;;;;;;
